city,state,name,established,last_expanded,riders_1996,riders_2001,riders_2007,riders_2011,riders_2016,before_1950,after_1950,stations,system_length_mi,latitude,longitude
Cleveland,Ohio,RTA Rapid Transit,1955,1968,5139700,5576100,7239400,5687300,6419400,FALSE,TRUE,18,19,41.5047302,-81.6907425
Staten Island,New York,Staten Island Railway,1925,2017,489700,3963700,4129300,4583500,8630900,TRUE,FALSE,21,14,40.6424217,-74.0752716
Lindenwold,New Jersey,PATCO Speedline,1936,1969,10707200,10038200,9406500,10506400,10653500,TRUE,FALSE,13,14.2,39.8167915,-74.9705811
Baltimore,Maryland,Baltimore Metro Subway,1983,1995,12250300,13857600,13555500,14939700,11241200,FALSE,TRUE,14,15.5,39.2905807,-76.6092606
Miami,Florida,Metrorail,1984,2012,1424500,1367800,1762700,18295500,21095500,FALSE,TRUE,23,24.9,25.7748108,-80.197731
Los Angeles,California,Metro Rail,1993,2000,8480600,39636500,42222500,46964500,45863900,FALSE,TRUE,16,17.4,34.0534897,-118.2453232
Atlanta,Georgia,MARTA,1979,2000,89748200,79863100,81503500,74236400,68678700,FALSE,TRUE,38,48,33.7483101,-84.3911133
Jersey City,New Jersey,Port Authority Trans-Hudson,1908,1911,66661900,69641300,71593500,76480400,78553600,TRUE,FALSE,13,13.8,40.7174797,-74.0438538
Philadelphia,Pennsylvania,SEPTA,1907,1973,90787600,87564800,89418700,99706500,94209100,TRUE,FALSE,75,36.7,39.9522209,-75.162178
San Francisco,California,BART,1972,2017,78597700,100113800,11244400,114325400,135310700,FALSE,TRUE,45,104,37.7771187,-122.4196396
Boston,Massachusetts,MBTA Subway,1901,2014,118073800,130021100,139387600,16051200,172105800,TRUE,FALSE,51,38,42.3586617,-71.0567398
Washington,District of Columbia,Washington Metro,1976,2014,19252900,242076200,283790500,290203500,234232100,FALSE,TRUE,91,117,38.898341,-77.028801
Chicago,Illinois,"Chicago ""L""",1897,2015,12405300,151559200,190272900,221587400,238645800,TRUE,FALSE,145,102.8,41.8842506,-87.6324463
New York City,New York,New York City Subway,1904,2017,125119900,1782246700,1929250400,2499514500,2750527400,TRUE,FALSE,424,236.2,40.71455,-74.0071411
